Microsoft.ClipSp,{b4b126de-32fe-4591-9ac5-b0778d79a0e7}
Microsoft.ClipSp_UnitTest_HwBinding,{ccef28a9-8e20-4ecc-904b-a3787ff6abfd}
Microsoft.ClipSvc,{b94d76c5-9d56-454a-8d1b-6ca30898160e}
Microsoft.ClipUp,{cfbea673-bf20-4bd8-b595-29b82d43df39}
Microsoft.CodeAnalysis.CFlat.Telemetry.ActivitySource,{4a996247-1611-57b8-0fe2-5c8729abb5ff}
Microsoft.Cognition.MixedReality.ShellGUIDashboard,{c45fe4ed-d0b1-5634-27b6-5eec51ba6b37}
Microsoft.CognitiveServices.Speech.SDK,{bbdb52c5-eb5c-4616-831d-901213d3791c}
Microsoft.Colorie,{54118709-4bd5-40bf-b91c-e9347dddbaec}
Microsoft.Composable.LiteTaskbar.SettingsHandlers,{4cf226f1-57b9-46e2-a212-d94e92df9faa}
Microsoft.ConfigurationManagement.PowerShell.Cmdlets,{1e76a7f0-2acd-5f39-dbbf-c3eb7793bf64}
Microsoft.ConfigurationManagement.PowerShell.Provider,{75172b5f-01f3-5171-e201-9602a125152d}
Microsoft.ConfigurationManagement.SupportCenter.Collector,{d05f38bc-3472-5d2d-8b76-ad5d66f58014}
Microsoft.ConfigurationManagement.SupportCenter.LogViewer,{881fe7b6-9c0c-5202-fca0-fff2843de6b1}
Microsoft.ConfigurationManagement.SupportCenter.PowerLogViewer,{59c2d29e-5aa4-588f-2dd9-28c78df5f23d}
Microsoft.ConfigurationManagement.SupportCenter.PS,{e004c97e-2b2a-533d-a85c-795e826ab75d}
Microsoft.ConfigurationManagement.SupportCenter.Viewer,{7a571444-c74f-552c-9de1-8b64471abe01}
Microsoft.CoreSystem.WindowsCompositionDatabase.Telemetry,{d1dcdddb-1ee0-4d47-b63b-ec64abbe2b8f}
Microsoft.Cortana.Windows.App,{dab9988f-5fd1-4518-b37d-542059e42bb5}
Microsoft.CortanaShowMe.Client,{4ca27cf9-d910-5ee7-dc2d-68b16811b9e4}
Microsoft.CortanaShowMe.Engine,{a990438d-9b0d-551a-8899-0569d57c0e50}
Microsoft.CRTProvider,{5eec90ab-c022-44b2-a5dd-fd716a222a15}
Microsoft.DHD1,{19d9d739-da0a-41a0-b97f-24ed27abc9fb}
Microsoft.DHD2.FrameTimingTelemetry,{12dc5aef-d6dc-59a7-3b3b-2b4b342131b9}
Microsoft.DiagSvc.Engine.Telemetry,{16c6ba99-2310-4237-9250-02eada41ceab}
Microsoft.Diagtrack.UtcAgent,{2605c881-95fd-41bf-b624-4069de69072b}
Microsoft.DOTNET.ASPNET.WebForms,{265f3ac7-56a5-5720-0af8-7616a1af3d9d}
